"","dclientes"
"162",0.0521156384089239
"163",0.0521181568802905
"164",0.0521184442841205
"165",0.0521164652785857
"166",0.0521121911292434
"167",0.052105599531119
"168",0.0520966744480479
"169",0.0520854059669135
"170",0.0520717901631203
"171",0.0520558289724432
"172",0.0520375300633466
"173",0.0520169067030068
"174",0.051993977609647
"175",0.0519687667834255
"176",0.0519413033080426
"177",0.0519116211154553
"178",0.051879758706629
"179",0.0518457588221029
"180",0.0518096680572934
"181",0.0517715364188839
"182",0.0517314168203246
"183",0.0516893645163463
"184",0.051645436478438
"185",0.051599690715395
"186",0.0515521855452541
"187",0.0515029788271323
"188",0.0514521271636207
"189",0.05139968508638
"190",0.0513457042393915
"191",0.0512902325758675
"192",0.0512333135860703
"193",0.0511749855741871
"194",0.0511152810029045
"195",0.051054225924415
"196",0.0509918395162195
"197",0.0509281337392848
"198",0.0508631131348451
"199",0.0507967747744372
"200",0.0507291083756369
"201",0.0506600965934608
"202",0.0505897154945503
"203",0.0505179352181189
"204",0.0504447208242753
"205",0.0503700333268005
"206",0.0502938309038265
"207",0.050216070276212
"208",0.0501367082398083
"209",0.0500557033343384
"210",0.0499730176283388
"211",0.0498886185966158
"212",0.0498024810640044
"213",0.049714589186954
"214",0.0496249384426443
"215",0.0495335375940142
"216",0.0494404105982802
"217",0.0493455984262753
"218",0.0492491607602465
"219",0.0491511775386269
"220",0.0490517503177298
"221",0.0489510034222824
"222",0.0488490848591912
"223",0.0487461669718827
"224",0.0486424468159254
"225",0.0485381462403839
"226",0.0484335116633905
"227",0.0483288135347085
"228",0.0482243454825105
"229",0.0481204231461417
"230",0.0480173827012118
"231",0.0479155790878724
"232",0.0478153839575309
"233",0.0477171833574515
"234",0.0476213751766252
"235",0.0475283663799116
"236",0.0474385700606884
"237",0.0473524023450583
"238",0.0472702791830116
"239",0.0471926130637869
"240",0.047119809693998
"241",0.0470522646778814
"242",0.0469903602392535
"243",0.0469344620244603
"244",0.0468849160247577
"245",0.0468420456551949
"246",0.0468061490252164
"247",0.0467774964338735
"248",0.046756328119788
"249",0.0467428522928796
"250",0.046737243471399
"251",0.0467396411440572
