CD_ESTRUTURA_COMERCIAL;CD_DIA_CICLO;CD_SEMANA_CICLO;CD_CICLO;RB;PUNTOS
300000805;14;2;201511;72868.27;11540
300000951;12;2;201512;4659.56;751
300000950;1;1;201709;70657.77;5847
300000950;15;3;201708;110944.83;9676
300000951;7;1;201706;23119.92;1812
300000951;30;5;201614;26417.1;2486
300000805;19;3;201615;45808.08;4427
300000951;4;1;201616;2840.9;260
300000443;9;2;201609;26194.11;2639
300000951;8;2;201605;66885.5;6160
300000950;1;1;201605;102780.61;9542
300000443;2;1;201605;16117.01;1484
300000805;17;3;201504;27577.5;5230
300000950;16;3;201504;36976.45;9119
300000951;2;1;201505;6865.6;1221
300000443;18;3;201803;10082.96;739
300000491;14;2;201702;153828.48;13868
300000805;16;3;201604;14622.64;1730
300000951;2;1;201605;11740.1;1196
300000951;20;3;201501;46240.12;8398
300000443;10;2;201501;15219.49;2818
300000491;20;3;201702;10109.9;843
300000491;21;3;201502;14974.82;2848
300001309;5;1;201715;37505.6;1988
300000805;12;2;201705;5561.5;444
300000443;17;3;201702;41659.15;3440
300000805;25;4;201502;19091.04;3978
300000950;26;4;201502;24877.09;4923
300001309;18;3;201801;24780.3;1897
300000443;23;4;201514;34726.5;4919
300000805;14;2;201602;77473.02;9749
300000950;18;3;201517;20783.92;2527
300000443;11;2;201617;24371.74;2430
300000443;16;3;201603;69094.99;10115
300000950;19;3;201707;50493.9;3640
300000443;11;2;201707;6949.4;525
300001309;15;3;201708;46034.06;3862
300000950;8;2;201709;22530.36;1852
300000951;26;4;201509;24601.04;3727
300000950;19;3;201509;20329.03;3230
300000443;19;3;201509;8663.35;1355
300000491;19;3;201509;9360.19;1376
300000951;10;2;201611;29697.33;2555
300000805;18;3;201601;35820.25;5116
300000950;17;3;201601;41726.09;6071
300000950;12;2;201605;28178.1;2866
300000443;11;2;201712;3408.8;253
300000805;1;1;201609;29510.21;3054
300000951;17;3;201709;68140.89;5443
300000491;17;3;201709;81463.39;6665
300000950;5;1;201507;2637.01;392
300000443;20;3;201714;5951.3;436
300000951;9;2;201707;31158.75;2194
300000443;16;3;201708;58411.42;5126
300000951;17;3;201708;59160.82;4960
300001309;17;3;201708;58459.17;5026
300000491;8;2;201510;34161.51;5565
300000950;3;1;201803;13725.51;936
300000805;6;1;201708;17235.05;1551
300000805;9;2;201610;10699.7;1120
300000805;11;2;201702;39350;3537
300000950;16;3;201605;49688.86;5144
300000805;15;3;201507;14634.96;2156
300000491;10;2;201516;13444.88;1751
300000805;15;3;201605;32953.58;3336
300000491;6;1;201710;24721.71;1965
300000950;10;2;201604;16221.28;1813
300000491;2;1;201517;10472.51;1305
300000491;11;2;201610;10111.1;999
300000950;1;1;201601;58048.21;8827
300000443;27;4;201502;54842.83;10673
300000805;27;4;201502;7106.24;1457
300000443;10;2;201508;10624.03;1649
300000951;22;4;201706;4541.7;343
300000443;1;1;201503;17709.88;3285
300000491;2;1;201503;7897.82;1467
300000950;30;5;201502;1560.25;376
300000951;5;1;201802;6218.71;473
300000491;12;2;201515;7482.89;1061
300000443;18;3;201508;10794.02;1810
300000951;5;1;201509;6606.25;1016
300000805;18;3;201509;19789.98;3162
300000951;25;4;201509;15810.81;2388
300000951;11;2;201602;3093.56;410
300000443;5;1;201602;10841.67;1434
300000950;11;2;201711;6205.2;498
300000951;15;3;201711;22844.82;1869
300000443;13;2;201513;53336.55;5734
300000950;13;2;201513;35479.8;4071
300000805;15;3;201513;25763.7;2551
300000443;11;2;201513;4570.9;483
300001309;16;3;201710;37875.14;3244
300000951;12;2;201709;29800.69;2461
300000491;16;3;201612;128297.17;11493
300000950;17;3;201612;82087.63;7358
300000443;4;1;201803;2059.41;122
300000491;17;3;201608;49036.57;5265
300000805;17;3;201608;22447.23;2505
300000950;14;2;201616;40943.67;3237
300000950;13;2;201616;16244.91;1228
300000443;12;2;201704;39853.3;2948
300000491;7;1;201604;16298.24;1953
300000491;18;3;201710;17370.21;1462
300001309;18;3;201710;26309.28;2234
300000443;15;3;201714;12944.71;961
300000950;19;3;201604;63010.88;7739
300000491;9;2;201701;28113.46;2813
300000491;5;1;201516;6924.67;919
300000951;4;1;201604;2891.83;359
300001309;7;1;201709;16055.06;1315
300000443;7;1;201709;5670.04;474
300000950;5;1;201709;4540.62;353
300000443;1;1;201705;42085.6;3360
300000951;13;2;201505;19291.24;3254
300000443;6;1;201505;18121.64;3135
300000951;19;3;201501;7116.18;1313
300000443;3;1;201509;11092.88;1665
300000951;10;2;201509;26996.75;4036
300000491;10;2;201514;21021.44;2954
300000950;11;2;201702;39531.67;3567
300000951;18;3;201702;13599.09;1066
300000951;5;1;201611;6324.09;553
300000951;11;2;201701;4500.76;472
300000491;18;3;201704;39428.56;3181
300001309;9;2;201713;23908.53;1500
300000491;8;2;201712;40068.81;2763
300000443;7;1;201516;25230.93;3380
300000443;2;1;201712;11008;848
300000443;7;1;201712;18436;1365
300000951;10;2;201503;17790.02;3382
300000491;19;3;201517;21391.29;2826
300000950;7;1;201515;29257.95;4137
300000443;4;1;201612;11026.08;1008
300000805;5;1;201612;2666.99;245
300000951;3;1;201502;1805.75;332
300000951;19;3;201605;14065.4;1421
300000951;21;3;201609;80547.93;8200
300000805;15;3;201609;44921.85;4616
300000443;5;1;201505;10428.8;1722
300001309;16;3;201712;29807.55;2255
300000805;9;2;201706;9066.89;719
300000491;18;3;201611;102117.3;9528
300000950;19;3;201611;32433.34;2909
300000491;20;3;201611;18792.91;1711
300000805;19;3;201611;20382.36;2015
300000951;18;3;201512;7770.36;1272
300000950;6;1;201507;60712.95;5006
300000805;16;3;201602;10541.2;1610
300000951;11;2;201516;2995.07;410
300000443;5;1;201516;6147.91;816
300000443;6;1;201617;34787.89;3477
300000951;18;3;201715;39878.72;2929
300000951;9;2;201802;35247.7;2611
300000443;5;1;201802;1749.3;127
300000950;4;1;201507;2113.73;329
300000805;12;2;201613;12100.01;880
300000491;13;2;201613;23623.57;1956
300000491;5;1;201801;10717.29;778
300000950;10;2;201801;55818.82;3473
300000951;5;1;201602;10959.92;1450
300000443;19;3;201601;26095.94;3944
300000443;20;3;201601;75170.61;11692
300000805;21;3;201601;74142.03;11146
300000491;19;3;201713;66206.27;4718
300000951;23;4;201712;10096.93;833
300000805;20;3;201606;15147.8;1571
300000951;11;2;201709;18214.23;1469
300001309;26;4;201714;22238.07;1664
300000805;31;5;201714;7147.11;517
300000950;17;3;201602;20342;2796
300000951;26;4;201602;11604.18;1631
300000491;18;3;201602;9896.34;1423
300000805;9;2;201511;21274.73;3531
300000951;9;2;201503;5789.1;1119
300000443;23;4;201509;27046.71;4248
300000951;4;1;201611;5274.49;513
300000491;6;1;201508;3423.49;505
300000951;30;5;201714;7116.6;511
300000950;4;1;201710;9928.29;679
300000805;16;3;201607;61862.92;5880
300000491;16;3;201607;53379.48;4983
300001309;1;1;201711;26210.71;1992
300000805;13;2;201502;10866.98;1925
300000951;;;201613;3705.68;233
300000951;16;3;201607;21596.61;2010
300000491;21;3;201517;63204.03;7563
300001309;6;1;201714;27208.7;1489
300001309;23;4;201802;20676.42;1446
300000491;25;4;201514;33515.93;4922
300000805;29;5;201509;1332.53;206
300000805;11;2;201803;10778.7;733
300000805;7;1;201712;26868;1891
300000805;18;3;201710;63761.59;5212
300000950;8;2;201612;46950.69;4058
300000805;13;2;201611;10500.52;976
300000805;14;2;201611;32242.34;3101
300000950;11;2;201710;15343.8;1274
300001309;20;3;201715;165046.19;12173
300001309;18;3;201715;33180.7;2508
300000443;18;3;201715;12625.11;896
300000491;15;3;201514;29105.3;4074
300000491;21;3;201510;75991.29;12490
300000491;18;3;201605;90094.45;9230
300000805;16;3;201617;4610.3;478
300000950;5;1;201708;9396.1;783
300000491;13;2;201604;10347.6;1213
300000950;19;3;201702;3854.76;334
300000950;7;1;201704;23840.77;1807
300000950;17;3;201701;51517.48;5650
300000950;19;3;201701;41962.98;4251
300001309;10;2;201709;10584.39;870
300000491;11;2;201605;29878.3;3025
300000950;2;1;201504;14882.58;2433
300000950;3;1;201504;13123.41;2097
300001309;12;2;201712;7036.28;499
300000443;4;1;201510;8267.95;1393
300000491;18;3;201614;40854.28;3428
300000951;23;4;201802;37678.92;2592
300000443;19;3;201713;12125.45;880
300000950;10;2;201611;38178.82;3571
300000443;7;1;201501;9841.78;1767
300000951;6;1;201615;9087.92;941
300000951;10;2;201604;24605.33;2905
300000805;12;2;201508;8745.16;1450
300000491;12;2;201508;5845.75;981
300000950;3;1;201502;20593.92;3695
300000443;14;2;201607;64183.53;6023
300000950;15;3;201717;18992.38;1299
300000491;10;2;201801;41029.09;2881
300000443;10;2;201801;18682.2;1318
300000443;17;3;201507;25641.95;3501
300000805;2;1;201606;15570.95;1576
300000805;12;2;201715;1809.5;158
300000491;16;3;201505;13596.58;2355
300000443;2;1;201802;3250.8;268
300000951;5;1;201613;6149.11;697
300000951;4;1;201713;1887.9;156
300000443;21;3;201606;165636.2;16824
300001309;17;3;201710;76531.45;6364
300000805;27;4;201509;10200.98;1633
300000805;8;2;201601;13304.46;1844
300000443;2;1;201512;12668.25;1934
300000951;6;1;201712;7239.88;529
300001309;6;1;201712;5578.79;450
300000950;7;1;201503;16250.95;2997
300000443;7;1;201503;9596.83;1884
300000951;15;3;201503;20099.37;3635
300000443;8;2;201503;25518.23;4931
300000491;1;1;201612;45574.56;4155
300000491;12;2;201504;9664.73;1697
300000805;8;2;201502;23854.86;3755
300000443;22;4;201503;1628.2;225
300000443;4;1;201604;9791.92;1161
300000443;23;4;201603;6808.25;741
300000443;5;1;201604;6085.98;646
300000805;18;3;201512;36109.84;4928
300000951;4;1;201515;2337.54;349
300000443;11;2;201711;11558.9;943
300000805;8;2;201612;26073.38;2363
300000951;17;3;201612;86140.04;7781
300000805;;;201710;9034.1;761
300000951;6;1;201507;34468.86;2930
300000805;11;2;201711;4348.6;348
300000443;6;1;201711;10104.9;807
300000491;4;1;201609;13362.26;1263
300000950;19;3;201609;48792.97;5025
300000950;19;3;201607;40492.25;3763
300000443;19;3;201607;47482.69;4345
300000950;2;1;201612;27995.59;2558
300000805;;;201716;2906.12;184
300000951;4;1;201707;2214.1;178
300000491;9;2;201706;10866.64;874
300001309;6;1;201708;9804.81;1045
300000491;3;1;201714;6270.9;467
300000491;15;3;201505;3073.2;533
300000491;29;5;201714;7933.83;595
300001309;1;1;201801;13272.35;992
300000805;3;1;201613;8629.59;795
300000491;11;2;201513;27633.64;2197
300000950;10;2;201513;28855.96;2854
300000805;12;2;201506;17810.24;2942
300000950;12;2;201506;44908.29;7293
300000951;14;2;201514;55972.95;8335
300000951;15;3;201514;15319.25;2176
300000443;8;2;201506;28914.05;4693
300000950;8;2;201506;36840.5;6114
300000805;12;2;201603;23771.63;3469
300000443;11;2;201606;10252.3;1077
300000951;4;1;201617;2472.4;225
300000491;2;1;201501;5272.48;1030
300000443;6;1;201501;14737.38;2768
300000805;8;2;201517;4284.13;551
300000805;5;1;201505;11737.91;1927
300000491;5;1;201505;6811.9;1207
300000805;1;1;201606;35671.2;3672
300000443;21;3;201605;87013.18;8597
300000805;3;1;201610;8326.56;874
300000950;2;1;201707;7387.82;607
300000950;19;3;201512;35929.9;5422
300000950;21;3;201517;63858.23;7762
300000951;8;2;201601;5816.07;837
300000805;3;1;201601;4470.19;619
300000950;21;3;201504;33877.19;6105
300000491;15;3;201508;44458.07;7155
300000805;10;2;201513;19463.41;1904
300000951;5;1;201517;6089.52;739
300000805;2;1;201514;15366.64;2250
300000491;3;1;201514;11900.43;1688
300000805;9;2;201506;9663.78;1455
300000491;7;1;201517;3982.62;544
300000491;19;3;201802;10838.2;761
300000950;4;1;201608;7261.26;952
300000951;17;3;201509;5268.29;864
300000443;2;1;201711;4089.8;327
300000950;5;1;201705;3292;264
300000951;24;4;201713;5144.78;458
300000443;18;3;201605;46750.5;4720
300000491;4;1;201706;2387;194
300000491;13;2;201608;8089.53;865
300000950;5;1;201711;8636.9;681
300000950;22;4;201706;1642.1;132
300000950;4;1;201501;13632.05;2369
300000951;12;2;201501;3165.07;553
